Kim,Bloem
32.28571429,30.57142857
32.56666667,29.35
33.4,30.32857143
30.37142857,26.55714286
35.35714286,32.47142857
31.98571429,28.85714286
29.72857143,27.38571429
30.8,29.37142857
28.4,26.05714286
30.92857143,27.52857143
32.9,29.97142857
30.82857143,27.87142857
31.87142857,30.11428571
30.2,27.64285714
33.71666667,31.95
32.6,29.68571429
31.45714286,29.51428571
33,29.5
31.78571429,29.71428571
33.15714286,29.52857143
33.6,30.2
28.34285714,26.28571429
31.95714286,29.61428571
29.7,27.9
31.77142857,29.24285714
28.32857143,25.62857143
28.55714286,26.62857143
34.21666667,31.63333333
26,23.38571429
28.31428571,26.31428571
30.68571429,28.61428571
31.24285714,29.95714286
30.68571429,28.22857143
32.01428571,28.41428571
36.08571429,32.35714286
31.97142857,29
32.15714286,28.78571429
33,29.7
33.51428571,30.07142857
33.05714286,29.74285714
30.02857143,26.5
34.62857143,32.47142857
34.3,29.88571429
32.5,28.71428571
33.08571429,29.82857143
26.15714286,24.57142857
34.52857143,32.58571429
34.92857143,32.2
33.41428571,29.32857143
28.74285714,26.6
35.48571429,32.48571429
31.24285714,27.22857143
35.87142857,32.35714286
33.88333333,32.13333333
29.9,27.07142857
32.31428571,30.77142857
32,28.5
33,30.17142857
37.42857143,34.44285714
33.87142857,30.98571429
33.6,32.14285714
32.82857143,30.24285714
33.25714286,31.24285714
30.9,29.3
27.44285714,27.58571429
28.71428571,26.87142857
29.23333333,26.83333333
34.57142857,31.24285714
34.3,30.58571429
34.55714286,31.68571429
32.14285714,28.5
32.15714286,29.3
27.78571429,24.97142857
30.47142857,27.28571429
32.07142857,27.82857143
26.05714286,24.18571429
30.85714286,27.84285714
31.92857143,29.5
32.77142857,29.14285714
30.6,27.55
32,29.81428571
29.81428571,27.18571429
32.95714286,30.3
34.27142857,31.31428571
33.97142857,31.78571429
35.55714286,31.78571429
35.12857143,32.68571429
34.91428571,31.9
34.12857143,31.25714286
35.01428571,31.97142857
31.45714286,28.41428571
33.8,31.14285714
36.27142857,34.04285714
27.57142857,26.38571429
31.92857143,29.45714286
